date,open,high,low,close,adjusted_close,volume,percent_change,name,source
2019-08-16,54.74,55.67,54.26,54.87,54.87,168345.0,0.0,Oil,Yahoo Finance
2019-08-17,54.74,55.67,54.26,54.87,54.87,168345.0,0.0,Oil,Yahoo Finance
2019-08-18,54.96,56.41,54.84,56.21,56.21,113571.0,0.0244213595771825,Oil,Yahoo Finance
2019-08-19,56.1,56.6,55.28,56.34,56.34,659258.0,0.002312755737413408,Oil,Yahoo Finance
2019-08-20,56.05,57.13,55.55,55.68,55.68,704035.0,-0.011714589989350488,Oil,Yahoo Finance
2019-08-21,55.94,56.46,54.85,55.35,55.35,621573.0,-0.00592672413793105,Oil,Yahoo Finance
2019-08-22,55.35,55.6,53.24,54.17,54.17,807151.0,-0.02131887985546521,Oil,Yahoo Finance
2019-08-23,55.35,55.6,53.24,54.17,54.17,807151.0,0.0,Oil,Yahoo Finance
2019-08-24,55.35,55.6,53.24,54.17,54.17,807151.0,0.0,Oil,Yahoo Finance
2019-08-25,53.25,55.26,52.96,53.64,53.64,679022.0,-0.009784013291489813,Oil,Yahoo Finance
2019-08-26,53.76,55.72,53.69,54.93,54.93,596624.0,0.024049217002237055,Oil,Yahoo Finance
2019-08-27,55.71,56.75,55.34,55.78,55.78,674048.0,0.015474239941744017,Oil,Yahoo Finance
2019-08-28,55.88,56.89,55.43,56.71,56.71,630760.0,0.016672642524202308,Oil,Yahoo Finance
2019-08-29,56.63,56.72,54.55,55.1,55.1,708268.0,-0.0283900546640804,Oil,Yahoo Finance
2019-08-30,56.63,56.72,54.55,55.1,55.1,708268.0,0.0,Oil,Yahoo Finance
2019-08-31,56.63,56.72,54.55,55.1,55.1,708268.0,0.0,Oil,Yahoo Finance
2019-09-01,56.63,56.72,54.55,55.1,55.1,708268.0,0.0,Oil,Yahoo Finance
2019-09-02,55.0,55.24,52.84,53.94,53.94,970804.0,-0.021052631578947434,Oil,Yahoo Finance
2019-09-03,53.92,56.58,53.84,56.26,56.26,682298.0,0.043010752688172005,Oil,Yahoo Finance
2019-09-04,55.95,57.76,55.75,56.3,56.3,712466.0,0.0007109847138286884,Oil,Yahoo Finance
2019-09-05,56.19,56.95,54.83,56.52,56.52,714294.0,0.003907637655417462,Oil,Yahoo Finance
2019-09-06,56.19,56.95,54.83,56.52,56.52,714294.0,0.0,Oil,Yahoo Finance
2019-09-07,56.19,56.95,54.83,56.52,56.52,714294.0,0.0,Oil,Yahoo Finance
2019-09-08,56.8,58.16,56.58,57.85,57.85,646993.0,0.02353149327671611,Oil,Yahoo Finance
2019-09-09,58.03,58.76,57.2,57.4,57.4,755472.0,-0.007778738115816863,Oil,Yahoo Finance
2019-09-10,57.89,58.3,55.61,55.75,55.75,858772.0,-0.028745644599303066,Oil,Yahoo Finance
2019-09-11,55.93,56.34,54.0,55.09,55.09,845977.0,-0.011838565022421421,Oil,Yahoo Finance
2019-09-12,55.15,55.68,54.44,54.85,54.85,599470.0,-0.004356507533127663,Oil,Yahoo Finance
